tid,text,likes,retweets
987969263070740480,"Companies like #Alphabet, #Google, #Apple, #Alibaba are betting that their own chips can help their AI applications… https://t.co/YuFRYZtMbH",0,0
987967819781410816,"#Alibaba buys Chinese chipmaker to aid IoT business https://t.co/sPW4zzhW9X

#iot #industrialiot",0,0
987966753396359169,""" #Alibaba is developing its own #AI chips, too""
(@techreview) 

""The Chinese e-commerce giant will join a raft of… https://t.co/GKTWIKsvzM",2,1
987960224576409600,RT @kirillklip: Security Of #Lithium Supply For #Tesla #Energy #rEVolution: The Catalyst - M&amp;A Hunting Season. Sale Of 5Bn Lithium Stake To…,0,21
987960193442082816,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987958371620917248,RT @StockShaman: Security Of #Lithium Supply For #Tesla #Energy #rEVolution: The Catalyst - M&amp;A Hunting Season. Sale Of 5Bn Lithium Stake T…,0,28
987958311059382272,RT @kirillklip: Security Of #Lithium Supply For #Tesla #Energy #rEVolution: The #Catalyst - M&amp;A Hunting Season. Sale Of 5Bn Lithium Stake T…,0,15
987958011749715968,RT @kirillklip: Security Of #Lithium Supply For #Tesla #Energy #rEVolution: The Catalyst - M&amp;A Hunting Season. Sale Of 5Bn Lithium Stake To…,0,21
987957991528943616,RT @kirillklip: Security Of #Lithium Supply For #Tesla #Energy #rEVolution: The Catalyst - M&amp;A Hunting Season. Sale Of 5Bn Lithium Stake To…,0,25
987955202501246977,Former #Alibaba P8 Technical Expert Joins BitRabbit https://t.co/WJ9I8b4BBD https://t.co/UviXzb1aon,0,0
987948722935009281,RT @4jorge: Why tech companies are racing each other to make their own custom #AI #Chip's... #Silicon #Alibaba #Google #Huawei #CloudComput…,0,2
987947470654181376,RT @4jorge: Why tech companies are racing each other to make their own custom #AI #Chip's... #Silicon #Alibaba #Google #Huawei #CloudComput…,0,2
987946623295741953,Why tech companies are racing each other to make their own custom #AI #Chip's... #Silicon #Alibaba #Google #Huawei… https://t.co/xtD7tMG7fe,2,2
987943710552928256,"RT @JimMarous: WeChat: The Future of Banking Ecosystems is Moving West

https://t.co/39tH9mX7Rk

New from @stratorob 
#banking #fintech #We…",0,112
987943460434010112,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987941250534813696,RT @ThaiPBSEnglish: #Durian price shoots up after sale on #Alibaba's https://t.co/8yyc9lItfp. #Thailand  https://t.co/FTWmB8D7Cu,0,12
987940679082037248,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987939528378855425,RT @ThaiPBSEnglish: #Durian price shoots up after sale on #Alibaba's https://t.co/8yyc9lItfp. #Thailand  https://t.co/FTWmB8D7Cu,0,12
987938223577096192,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987937492283379713,Former #Alibaba P8 Technical Expert Joins BitRabbit https://t.co/WJ9I8b4BBD https://t.co/13qZIvE5PQ,0,0
987935330450976768,Alibaba is getting ready to launch in Pakistan Recently there was news about a possible launch of #Alibaba in pakis… https://t.co/KALYfxySg8,0,0
987933829288611840,"Online or offline? ""New retail"" will do with both #alibaba #ecommerce #trailblazer https://t.co/sPrYzhZRCn",0,0
987930852662407168,#Alibaba’s #NewRetail concept is coming alive in China. Learn how the #ecommerce giant seeks to tap into China’s $4… https://t.co/iM2cVjwjkv,0,0
987924674859360256,RT @ThaiPBSEnglish: #Durian price shoots up after sale on #Alibaba's https://t.co/8yyc9lItfp. #Thailand  https://t.co/FTWmB8D7Cu,0,12
987924540830367744,"RT @alltechasianews: #Alibaba ’s R&amp;D arm #DamoAcademy is developing a new #AI chip, #AliNPU, claiming to be 40 times more cost-effective th…",0,3
987923817413554176,"RT @alltechasianews: #Alibaba ’s R&amp;D arm #DamoAcademy is developing a new #AI chip, #AliNPU, claiming to be 40 times more cost-effective th…",0,3
987923783984955393,"RT @PDChina: #Alibaba buys Chinese chip maker C-Sky Microsystems, in a move to expand the tech giant’s #chip development capabilities https…",0,35
987923774602276865,RT @ChinaDailyUSA: China's e-commerce giant #Alibaba will establish a Smart Digital Hub in Thailand's Eastern Economic Corridor (EEC).,0,7
987923404278902786,"#Alibaba ’s R&amp;D arm #DamoAcademy is developing a new #AI chip, #AliNPU, claiming to be 40 times more cost-effective… https://t.co/tckjB2XC4v",2,3
987918585824710661,Mission Million Books! Free books for schools and colleges all over Bombay from Ratna Nidhi Charitable Trust!… https://t.co/6ljjJoVNuZ,0,0
987917660045369344,#Alibaba is about to spend big to upgrade logistics network https://t.co/kiTOScnTI8,0,0
987913688131616774,RT @ThaiPBSEnglish: #Durian price shoots up after sale on #Alibaba's https://t.co/8yyc9lItfp. #Thailand  https://t.co/FTWmB8D7Cu,0,12
987913506069430272,RT @ThaiPBSEnglish: #Durian price shoots up after sale on #Alibaba's https://t.co/8yyc9lItfp. #Thailand  https://t.co/FTWmB8D7Cu,0,12
987912174033977344,RT @ThaiPBSEnglish: #Durian price shoots up after sale on #Alibaba's https://t.co/8yyc9lItfp. #Thailand  https://t.co/FTWmB8D7Cu,0,12
987910458307788800,RT @ThaiPBSEnglish: #Durian price shoots up after sale on #Alibaba's https://t.co/8yyc9lItfp. #Thailand  https://t.co/FTWmB8D7Cu,0,12
987910287708766209,RT @ThaiPBSEnglish: #Durian price shoots up after sale on #Alibaba's https://t.co/8yyc9lItfp. #Thailand  https://t.co/FTWmB8D7Cu,0,12
987908985012477953,RT @ThaiPBSEnglish: #Durian price shoots up after sale on #Alibaba's https://t.co/8yyc9lItfp. #Thailand  https://t.co/FTWmB8D7Cu,0,12
987908722440597505,#Durian price shoots up after sale on #Alibaba's https://t.co/8yyc9lItfp. #Thailand  https://t.co/FTWmB8D7Cu,1,12
