tid,text,likes,retweets
989538083300368386,"RT @dubtokens: Could #blockchain flip the systems #Amazon, #Facebook and #Google all have in place? https://t.co/tpb77sjw6F",0,6
989538040577081344,MASAKI YODA -Get it out- on #amazon https://t.co/hvyXzGOdnb #music #listen #Japan #information,0,0
989537991369601024,"...

If #Amazon re-locates  to Pennsylvania there employees will be TAXED TO DEATH!!!

...

RT (cont) https://t.co/86NW0cU7e3",0,0
989537990337708032,all this can be yours #hq2 mayors trying to inflate their reputations #amazon #Atlanta #pittsburgh #austin #toronto https://t.co/qc7EVIybw8,1,0
989537982351859713,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537966845546496,"15% off, 5.0 Stars: Save On Amazonbasics Floor  Safety Cone. Details: 4-facet floor safety cone with “Caution messa… https://t.co/GZmAXlryNS",0,0
989537937317613568,"get free #iTunes, #Amazon, #Xbox and other gift cards with @AppBounty. Use my link for a bonus: https://t.co/6ijWrrle8I",0,0
989537925573627906,https://t.co/STi4dswyuQ Promote #Amazon #Affiliate products AUTOMATICALLY with https://t.co/vxhsoD3omo #job | Keywo… https://t.co/dU3xJnZeNt,0,0
989537922352275456,"Throttle
ttps://www.amazon.com/dp/B01HVSCOS4
#Military #Steamy #Romance #Action #Adventure #Sports #Free #Book… https://t.co/Uvr5bbAiiE",0,1
989537879696297984,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537877309698050,"#Amazon deal: Journal: Comic Speech Bubbles 8x10 - LINED JOURNAL - Journal with lined pages - (Diary, Notebook) (Su… https://t.co/2Tdd9Owjb4",0,0
989537862356905984,"RT @RHHaleAuthor: “A haunting and terrifying book”
⭐️⭐️⭐️⭐️⭐️

CHURCH MOUSE (Book 1)
Memoir of a vampire’s servant

https://t.co/QMLmzW9sv0…",0,228
989537842421526529,RT @CleverlyCool: Check out Fred Hayman Beverly Hills Black Leather Shoulder/Hand Bag Vintage  #FredHayman https://t.co/pLIWbB5FOk via @eBa…,0,4
989537830916558849,"@amazonecho Meh, this actually doesn't add ""skills"" but rather personalized  responses to questions and prompts.  I… https://t.co/cJSUKTHCmH",0,0
989537823496650754,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537788281442304,I’m a few points away from a free gift card via @AppBounty. Visit https://t.co/x5veECnuin to sign up &amp; we both get #iTunes #Amazon gift card,0,0
989537767754534913,"#Italy 36%, 4.3 Stars: Kenwood Khh300wh Multione  Impastatrice Planetaria for EUR 174. Great Deal for Today!… https://t.co/be9s6zc0YX",0,0
989537759734910977,"Espresso, Cake, and Murder https://t.co/ayqvwyXAXX   #Mystery #Deal, #Sponsor, Culinary Mystery #Book #Kindle… https://t.co/lotMYO72vp",0,0
989537697621528576,"#France 19%, 4.2 Stars: Alesis  Recital Piano Numrique Avec 88 Touches Authentiques Av... for EUR 219. Great Deal f… https://t.co/vTl57OxvWc",0,0
989537640767569920,"RT @RHHaleAuthor: “A haunting and terrifying book”
⭐️⭐️⭐️⭐️⭐️

CHURCH MOUSE (Book 1)
Memoir of a vampire’s servant

https://t.co/QMLmzW9sv0…",0,228
989537627438243841,High-protein healthy snacking just got a whole lot tastier! #ShrewdFood Protein Crisps - Available on #Amazon in 3… https://t.co/fLM9HAwocX,0,0
989537623143276544,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537616843468803,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537597104979974,Bezos's empire: how Amazon became the world's biggest retailer https://t.co/00HtFDzRro #Amazon #Retail… https://t.co/lbv4Lyd2WB,0,0
989537582424952833,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537578239053825,"Bluetooth Speakers Plant Pot LED Night Lights $3.84  https://t.co/KaZ6yM57t9 #AMAZON, #ELECTRONICS, #HOME",0,0
989537541824098308,Bluetooth Speakers Plant Pot LED Night Lights $3.84 https://t.co/IRN59PEhPu #amazon #electronics #home,0,0
989537520328179712,"Bangkok Shadows 
 https://t.co/YeYaugVBQz  #Suspense #Thriller #Deal, #Sponsor, An Expatriate Lawyer in #Bangkok, B… https://t.co/JQkvVsSNHU",0,0
989537454309957632,"Go Check Out My #New #Music ""Get It Poppin"" Available On #Tidal #iTunes #AppleMusic #GooglePlay #Amazon #Spotify… https://t.co/4F0OylRTiE",1,0
989537449293549568,"@TechCrunch @sarahintampa Meh, this actually doesn't add ""skills"" but rather personalized responses to questions an… https://t.co/mpTMIE4Ewv",0,0
989537417005645824,RT @omghotels: Theatre and Cocktails  - Choice of London West End Theatre Shows with Cocktails -   Experience For 2… https://t.co/FHbgJLjHPh,0,0
989537415915229184,"RT @omghotels: Theatre and Cocktails - Choice of London West End Theatre Shows with Cocktails - Experience For 2 - Now only £79

https://t.…",0,34
989537415109980160,"#Italy 27%, 4.4 Stars: Dyson 228688-01 Ball Stubborn 2 Aspirapolvere  A Traino for EUR 239. Great Deal for Today!… https://t.co/B36jw4c9LM",0,0
989537412811390977,"RT @Unbox_Junkie: New Video - These Mini True Wireless  Speakers are Loud!
↪https://t.co/J9NhGxCtFH↩

#amazon #tiamat #truewireless #speake…",0,130
989537406658449408,"#UK 26% off, 68 Reviews: Clare Florist Freesia  Fragrance Fresh Flower Bouquet Colourful. Details: Your flowers car… https://t.co/Vv07Lbutk7",0,0
989537378820861952,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537378263011328,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537363318763521,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537362068885504,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537343039246336,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537340354912256,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537324781441025,"RT @eroticafemdom: ** AVAILABLE ON amazon ** DOWNLOAD NOW **

Panty Thief recieves the ultimate punishment!

CLICK BELOW AND LISTEN NOW -&gt;…",0,1
989537291487002624,"Look To The Sky https://t.co/ARrES9B38X  $3.99 #NonFiction #Deal, #Sponsor, Uplifting True Stories, Young People wi… https://t.co/ehJNUeKB0o",1,0
989537282632945664,# 1  #hot #newrelease Hard Rock Daddy Box Set #Free in Kindleunlimited #amazon #kindle #romance #books&amp;gt;&amp;gt;… https://t.co/GPzrzTEp9l,0,0
989537258431643648,"A Stranger Danger https://t.co/T7XGZRZLR6    $5.99 #Murder #Mystery #Deal, #Sponsor, Kidnapping #Book #Kindle #review #amazon",0,0
989537251670421504,"Look To The Sky https://t.co/XUF7mv9Iew  $3.99 #NonFiction #Deal, #Sponsor, Uplifting True Stories, Young People wi… https://t.co/RBgHfSw5qU",0,0
989537251376926720,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537207621844993,RT @KathleenHarrym1: #RT Come on over to my #Amazon Author page There's a #psychological #thriller #suspense waiting for you https://t.co/n…,0,34
989537155864256513,Felicity Brown is being watched. Every second of every day. But she doesn�t have a clue. #Sweet #RomanticSuspense… https://t.co/350I6dYKw0,0,0
989537129482080256,"** AVAILABLE ON amazon ** DOWNLOAD NOW **

Panty Thief recieves the ultimate punishment!

CLICK BELOW AND LISTEN NO… https://t.co/sNkW9pyDRC",0,1
989537127078744064,"Living in #Lawrence or #Shawnee #KS and ordering books for young readers? See Runley Read-Alongs, available from… https://t.co/T5mBT2Xt2p",0,0
989537124390260737,"33% off, 4.3 Stars, 122 Reviews: Fishers Finery  Women's Ecofabric Terry Bathrobe Kimono Style. Top Review said: Ex… https://t.co/irXCi8DTB0",0,0
989537100910362624,"The Professional Corpse 
https://t.co/0azqXzkvmD  #Paranormal #Mystery, Assassinations, #Werewolves #Shifters #Free… https://t.co/O2Nx010jRy",0,0
989537096426803200,This is a nice addition from Amazon Alexa for kids -https://t.co/kFxic3Blzr #Amazon #Alexa #Amazondot https://t.co/Je25h4MrjF,0,0
989537080005947392,"The Professional Corpse 
https://t.co/OUm6tFXkGF #Paranormal #Mystery, Assassinations, #Werewolves #Shifters #Free… https://t.co/j8qa78HdUV",0,0
989537074796814336,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537072003284992,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537057268797442,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537052533309440,"Look To The Sky https://t.co/PviiKiaFTy  $3.99 #NonFiction #Deal, #Sponsor, Uplifting True Stories, Young People wi… https://t.co/q9makEKBwp",0,1
989537043167547392,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537033482842112,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537029120606208,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537014449045504,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989537004101734401,RT @Rob_Schofield: Two NC firms and Amazon among nation's 12 worst companies for worker safety in latest rankings https://t.co/io4idKb5To #…,0,1
989536968198373376,"The Professional Corpse 
https://t.co/rWpSdSRhAD #Paranormal #Mystery, Assassinations, #Werewolves #Shifters #Free… https://t.co/xVwHNEQnP1",0,0
989536957226278912,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989536930743422977,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
